abandon 放弃
ability 能力
able 能够…的
abnormal 反常的
aboard 在船上
abolish 废除
abortion 流产；失败
about 关于
above 在…上方
abroad 到国外
abrupt 突然的
absence 缺席
absent 缺席的
absolute 绝对的
absorb 吸收
abstract 抽象的
absurd 荒谬的
abundant 大量的
abuse 滥用
academic 学院的
academy 学会
accelerate 使加快
accent 口音
accept 接受
access 通道
accessible 易取得的
accident 事故
accommodation 住处
accompany 陪伴
accomplish 完成
account 帐户
accountant 会计师
accumulate 积累
accuracy 准确的
accurate 准确的
accuse 指责
accustomed 惯常的
ache 疼痛
achieve 取得
achievement 成就
acid 酸味的
acknowledge 承认
acquaintance 熟人
acquire 获得
acquisition 获得
acre 英亩
across 穿越
act 行动
action 行动
active 活泼的
activity 活力
actor 演员
actress 女演员
actual 实在的
acute 严重的
ad 公元
adapt 改编；使适合
adaption 适应；改编
add 加
addicted 上瘾的
addition 加
address 地址
adequate 充分的
adjust 校正
adjustment 调节
administration 执行
admirable 令人钦佩的
admire 称赞
admission 准许进入；承认
admit 承认
adolescence 青春期
adolescent 青春期的
adopt 采用
adore 爱慕
adult 成年人
advance 提前
advantage 有利条件
adventure 冒险；奇遇
advertise 公布
advertisement 广告
advice 劝告
advise 劝告
advocate 提倡
affair 事件
affect 影响
affection 喜爱
afford 负担得起
afraid 害怕
africa 非洲
african 非洲的
after 在…以后
afternoon 下午
afterward 以后
against 逆着
age 年龄
agency 代理行
agenda 议事日程
agent 代理人
aggressive 好斗的
ago 以前
agree 同意
agreement 协议；同意
agricultural 农业的
agriculture 农业
ahead 在前面
aid 帮助
aids 艾滋
aim 目标
air 空气
aircraft 飞机
airline 航空公司
airmail 航空邮件
airplane 飞机
airport 机场
airspace 领空
alarm 警告
album 相册
alcohol 酒精
alcoholic 酒精的
algebra 代数
alike 相同的
alive 活着的
all 所有的
allergic 过敏的
alley 小巷
allocate 分配
allow 允许
allowance 津贴
almost 几乎
alone 单独的
along 沿着
alongside 沿着边
aloud 大声地
alphabet 字母表
already 已经
also 也
alternative 两者择一的
although 虽然
altitude 高度
altogether 全部地
aluminium 铝
always 总是
am 是
amateur 业余的
amaze 使惊奇
amazing 令人惊异的
ambassador 大使
ambassadress 女大使
ambiguous 含糊不清的
ambition 雄心
ambulance 救护车
america 美国
among 是…中之一
amount 数量
ample 大量的
amuse 逗乐
amusement 娱乐
analyse 分析
analysis 分析
ancestor 祖先
anchor 锚
ancient 古代的
and 和
anecdote 轶事
anger 怒气
angle 角度
angry 生气的
animal 动物
ankle 踝关节
anniversary 周年纪念
announce 宣布
annoy 打扰
annual 每年的
another 另一个
answer 回答
ant 蚂蚁
antarctic 南极的
antique 古董
anxiety 焦虑
anxious 焦虑的
any 无论哪一个
anybody 任何人
anyhow 不论如何
anyone 任何人
anything 无论什么
anyway 不管怎样
anywhere 任何地方
apart 相距
apartment 一套房间
apologize 道歉
apology 认错
apparent 显然的
appeal 呼吁
appear 出现
appearance 出现；外貌
appendix 附录；阑尾
appetite 欲望
applaud 鼓掌
applicant 申请人
application 申请表
apply 应用
appoint 任命
appointment 约会
appreciate 感谢
appreciation 赏识；感谢
approach 接近
appropriate 适当的
approval 赞成
approve 赞成
approximately 大约
apron 围裙
arbitrary 随意的；专横的
arch 拱门
architect 建筑师
architecture 建筑学
arctic 北极的
are 是
area 区域；面积
argue 争论
argument 争吵
arise 起来
arithmetic 算术
arm 臂；武器
armchair 扶手椅
army 军队
around 在周围
arrange 安排
arrangement 安排
arrest 逮捕
arrival 到达
arrive 到达
arrow 箭
art 艺术
article 文章
artificial 人造的
artist 艺术家
ash 灰
ashamed 惭愧的
asia 亚洲
asian 亚洲人
aside 在旁边
ask 问
asleep 睡着的
aspect 方位；面貌
assess 估计
assessment 评估
assist 帮助
assistance 帮助
assistant 助手
associate 伙伴
association 社团
assume 假设
assumption 假定
astonish 使惊讶
astronaut 宇航员
astronomer 天文学者
astronomy 天文学
at 在；于
athlete 运动员
athletic 运动的
atlantic 大西洋
atmosphere 大气；气氛
atom 原子
attach 贴上
attack 攻击
attain 实现
attempt 尝试
attend 参加
attention 专心
attitude 态度
attract 吸引
attraction 吸引力
attractive 吸引的
audience 观众
aunt 阿姨
authentic 权威的
author 作者
authority 权力；官方
automatic 自动的
autonomous 自治的
autumn 秋天
available 可用的
avenue 大街
average 平均的
avoid 避免
awake 醒着的
award 奖金
aware 知道的
away 远处
