rat 老鼠
valley 山谷
pence 便士
unconditional 无条件的
feather 羽毛
zoo 动物园
build 建筑；建立
field 田野；场地
nationality 国籍；民族
salad 沙拉
ferry 渡口；摆渡
building 建筑物
limit 界线；限制
stewardess 女管家
manage 管理
path 小路
example 例子
purple 紫色的
valid 有效的
hurry 匆忙
argue 争论
accommodation 住处
mixture 混合物
picnic 野餐
consensus 一致同意
smoke 烟
protection 保护
conscience 良心
sense 感觉
owe 亏欠
chant 吟唱
term 学期
urban 都市的
considerate 体贴的
afraid 害怕
bandage 绷带
tabletennis 乒乓球
candidate 候选人
combine 使联合
hurricane 飓风
independent 独立的
cancer 癌症
choose 选择
town 城镇
desire 要求
visual 视觉的
submit 使服从；递交
physics 物理学
meaning 意思
country 国家
adult 成年人
servant 仆人
care 关心
search 寻找
furniture 家具
agree 同意
unemployment 失业
nearly 几乎
bond 使结合
master 主人
rise 升高
punish 处罚
monument 纪念碑
stick 粘贴
tax 征税
personnel 员工
therefore 因此
ox 牛
ocean 海洋
eagle 鹰
cloud 云
fibre 纤维
fiber 纤维
bingo 宾戈游戏
fortunate 幸运的
mommy 妈咪
wage 工资
along 沿着
surplus 过剩的
add 加
outdoors 在户外
paper 纸
fetch 抵达
church 教堂
edition 版本
weather 天气
opera 歌剧
dot 小圆点
service 服务
disease 疾病
symphony 交响乐
survival 生存
thus 因此
satisfy 使满足
arise 起来
sorry 对不起
dinosaur 恐龙
properly 适当的
story 故事
appetite 欲望
pronounce 发音；宣布
socialist 社会主义者
certain 无疑
pea 豌豆
bacterium 细菌
contrary 相反的
roof 屋顶
carve 切
essay 散文
reward 报酬
convenience 方便
export 出口
fit 合适的
racial 种族的
herself 她自己
bid 出价
novelist 小说家
safety 安全
off 在…外；在…前；离开；完
east 东
misunderstand 误解
razor 剃刀
short 短的
surprise 使惊奇
pleasure 愉快
tidy 整洁的
garage 车库
analyse 分析
notice 预告
violinist 小提琴手
ice 冰
deliberately 故意地
alike 相同的
perfect 完美的
broom 扫帚
welfare 健康
keyboard 键盘
approximately 大约
hopeful 抱有希望的
habit 习惯
confidential 秘密的
complex 复合的
recreation 娱乐
data 资料
kindergarten 幼儿园
sniff 闻
we 我们
studio 录音室
overlook 忽视
barbershop 理发店
minority 少数民族
escape 逃跑
jeans 牛仔裤
videophone 可视电话
adapt 改编；使适合
report 报道
recorder 录音机
betray 背叛
vast 巨大的
arrow 箭
usual 通常的
eat 吃
spread 伸开
agent 代理人
spare 多余的
conclusion 结束；结论
rock 岩石
hometown 家乡
bakery 面包房
conclude 结束；决定
worry 烦恼
operate 手术；运转
floor 地板
area 区域；面积
noise 噪声
chairwoman 女主席
classroom 教室
communicate 交流
attack 攻击
event 事件
dream 梦想
criminal 罪犯
authentic 权威的
scarf 围巾
senior 年长的
description 描述
representative 代表
carriage 四轮马车
sacred 神圣的
run 跑
software 软件
diet 日常饮食
copy 复制
eastern 东方的
carbon 碳
sow 播种
